
ICICI TID NO, HDFC TID NO, MID NO, SERIAL NO,LOCATION,DEPARTMENT,AMEX NO, SIM CARD, TERMINAL TYPE,VENDOR, COMPANY, STATUS, REMARKS, IS AMEX
40943990,,,13270WL20924912,Back Office,IT,,NA,GPRS Terminal,Pine Labs,Back Office,Working,,NA
40940256,,,13164CT20468467,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
,40936162,,14292CT22769480,BACKOFFICE,IT,1773428,NA,EDC Terminal,Pine Labs,Back Office,Working,,AMEX
,40936192,470000074052200,13152CT20407107,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
,40940257,470000074052200,13164CT20467858,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
,40936166,470000074052200,13199CT20630609,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
62564145,,470000074052200,14298CT22812945,BACKOFFICE,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
62564127,,470000074052200,14362CT23180327,SPARE IN Waterpark,IT,,NA,EDC Terminal,Pine Labs,Back Office,Working,,NA
88006009,,470000074052200,12084WL60492402,BACKOFFICE,IT,,NA,GPRS Terminal,Pine Labs,Back Office,Working,,NA
72056681,,,14080WL21543556,BACKOFFICE,IT,,NA,GPRS Terminal,Pine Labs,Back Office,Working,,AMEX
72060466,,,15077WL81100284,BACKOFFICE,IT,,NA,GPRS Terminal,Pine Labs,Back Office,Working,,AMEX
62500700,,470000074052200,15276WL23584222,BACKOFFICE ,IT,,Vodafone,GPRS Terminal,ICICI,Back Office,Working,,NA
62500703,,470000074052200,13337WL21168464,BACKOFFICE ,IT,,Vodafone,GPRS Terminal,ICICI,Back Office,Working,,NA
62500704,,470000074052200,13337WL21167870,BACKOFFICE,IT,,Vodafone,GPRS Terminal,ICICI,Back Office,Working,,NA
,40936169,470000074052200,15270CT24282480,BACKOFFICE,IT,,Vodafone,EDC Terminal,Pine Labs,Back Office,Working,,NA
40936177,88005983,470000074052200,13165CT20475366,BACKOFFICE,IT,,Vodafone,EDC Terminal,Pine Labs,Back Office,Working,,NA
62564141,,470000074052200,14353CT23113348,BACKOFFICE,IT,,Vodafone,EDC Terminal,Pine Labs,Back Office,Working,,NA
